,2015,2016,2017,2018,2019,2020,2021,2022,2023
1,15.895658,7.475985,8.874081,27.115142,2.958449,13.565108,25.212240,9.142043,3.227056
2,19.833177,37.896426,34.463640,23.583686,11.162737,3.217139,24.297814,6.934336,33.352787
3,18.011204,10.433401,7.460433,17.275106,12.574279,8.124243,12.663016,25.237424,1.364345
4,4.326380,6.754164,11.260672,26.962628,18.453587,17.822195,4.055810,17.531716,10.831029
5,11.607966,35.342567,4.108305,12.859949,9.604293,17.582098,6.610157,7.344069,5.340752
6,31.184226,28.127278,35.365009,18.100872,22.191994,39.283450,32.730425,23.474146,9.897022
7,40.845296,16.340353,7.690090,7.512606,13.329212,8.891310,7.336650,8.010369,8.168123
8,30.190518,15.083667,9.935337,13.492546,10.178925,8.562728,7.092056,7.758033,15.433408
9,21.565072,14.131831,13.182654,29.396582,5.408951,6.892784,7.669881,12.692749,6.095125
10,32.750124,23.061055,6.174585,29.219798,3.869224,5.030168,2.481953,5.255642,11.297548
11,1.865100,13.910156,3.836664,10.439027,2.461161,8.321078,3.185696,1.305930,0.739474
12,17.588964,23.415168,13.649356,4.547280,23.846605,9.167511,6.665442,21.147311,5.812798
